BTC-GBP,Bitcoin GBP,42070.02,"+1,051.83",+2.56%,785.363B,41.733B,41.733B,41.733B,18.668M,nan,nan
ETH-GBP,Ethereum GBP,1325.12,+77.52,+6.21%,152.723B,16.213B,16.213B,16.213B,115.252M,nan,nan
BNB-GBP,BinanceCoin GBP,198.21,+2.06,+1.05%,30.63B,1.549B,1.549B,1.549B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.726,-0.0048,-0.66%,29.388B,58.424B,58.424B,58.424B,40.477B,nan,nan
ADA-GBP,Cardano GBP,0.8775,+0.0095,+1.09%,28.033B,1.877B,1.877B,1.877B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,24.91,+1.21,+5.12%,23.021B,1.207B,1.207B,1.207B,924.287M,nan,nan
XRP-GBP,XRP GBP,0.4103,+0.0081,+2.03%,18.628B,2.511B,2.511B,2.511B,45.404B,nan,nan
THETA-GBP,THETA GBP,9.509107,+0.278608,+3.02%,9.509B,600.933M,600.933M,600.933M,1B,nan,nan
LTC-GBP,Litecoin GBP,142.23,+7.12,+5.27%,9.494B,2.538B,2.538B,2.538B,66.752M,nan,nan
LINK-GBP,Chainlink GBP,20.49,+0.85,+4.34%,8.525B,801.724M,801.724M,801.724M,416.01M,nan,nan
