Symbol,Name,Price,(intraday),Change,% change,Market cap,Volume in currency (since 0:00 UTC),Volume in currency (24 hrs),Total volume all currencies (24 hrs)
ETH-GBP,Ethereum GBP,1278.73,-18.39,-1.42%,147.082B,16.199B,16.199B,16.199B,115.022M
BNB-GBP,BinanceCoin GBP,190.91,-18.71,-8.93%,29.501B,2.772B,2.772B,2.772B,154.533M
USDT-GBP,Tether GBP,0.7187,-0.0033,-0.46%,27.388B,70.407B,70.407B,70.407B,38.107B
ADA-GBP,Cardano GBP,0.7646,-0.0433,-5.36%,24.428B,3.18B,3.18B,3.18B,31.948B
DOT1-GBP,Polkadot GBP,25.72,-0.87,-3.27%,23.644B,1.59B,1.59B,1.59B,919.196M
XRP-GBP,XRP GBP,0.3202,-0.0069,-2.12%,14.54B,2.392B,2.392B,2.392B,45.404B
LTC-GBP,Litecoin GBP,152.23,8.48,+5.90%,10.144B,5.068B,5.068B,5.068B,66.638M
LINK-GBP,Chainlink GBP,20.41,-0.89,-4.18%,8.429B,1.056B,1.056B,1.056B,413.01M
BCH-GBP,BitcoinCash GBP,382.45,-9.19,-2.35%,7.143B,2.785B,2.785B,2.785B,18.678M
